actor;platform;year
lezley mcspadden;as6019;2017
 michael brown sr.;as6019;2017
o.t. fagbenie;as6021;2008
 ewan stewart;as6021;2008
 dugald bruce-lockhart;as6021;2008
 samara maclaren;as6021;2008
 michael wildman;as6021;2008
karra elejalde;as6022;2007
 candela fernendez;as6022;2007
 barbara goenaga;as6022;2007
 nacho vigalondo;as6022;2007
 juan inciarte;as6022;2007
anna taratorkina;as6023;2017
 dmitry burukin;as6023;2017
 natali starinkevich;as6023;2017
 lydia kopina;as6023;2017
 eduard flerov;as6023;2017
james cromwell;as6024;2009
 corey johnson;as6024;2009
 ben daniels;as6024;2009
 michael landes;as6024;2009
 henry goodman;as6024;2009
 michael brandon;as6024;2009
 peter polycarpou;as6024;2009
 william hope;as6024;2009
 david annen;as6024;2009
 alex jennings;as6024;2009
 james bolam;as6024;2009
 richard durden;as6024;2009
sheridan smith;as6025;2015
 paul nichols;as6025;2015
 michael maloney;as6025;2015
 hadyn gwynne;as6025;2015
 nate fallows;as6025;2015
 rebekah staton;as6025;2015
 susannah field;as6025;2015
james mcgowan;as6026;2009
 graham abbey;as6026;2009
 nazneen contractor;as6026;2009
lu han;as6027;2018
 guan xiaotong;as6027;2018
sreekanth biroju;as6028;2021
 geethika rathan;as6028;2021
 rafiksha;as6028;2021
 tnr;as6028;2021
 satish saripalli;as6028;2021
 dhanalakshmi;as6028;2021
 sunitha manohar;as6028;2021
 rajashekar aningi;as6028;2021
sunny besen thrasher;as6029;1987
 stuart stone;as6029;1987
 jeff mcgibbon;as6029;1987
 alyson court;as6029;1987
 dan hennessey;as6029;1987
 colin fox;as6029;1987
 tracey moore;as6029;1987
